Student Number,Female,socioeconomicstrata_round1,children5years_r1,everhadsex_r1,howmanysexpartners_r1,usedrythm_pregn_r1,usedpill_pregn_r1,usedinjection_pregn_r1,usedIUD_pregn_r1,usedcondom_pregn_r1,usedwithdraw_pregn_r1,usedemergency_pregn_r1,usedother_pregn_r1,rythmsafest_pregnancy_r1,pillsafest_pregnancy_r1,injectionsafest_pregnancy_r1,hygienesafest_pregnancy_r1,condomsafest_pregnancy_r1,withdrawalsafest_pregnancy_r1,emergencypsafest_pregnancy_r1,abstinencesafest_pregnancy_r1,other_pregnancy_r1,whichone_pregnancy_r1,dontknow_pregnancy_r1,peopleathome_r1,motherliveathome_r1,educationmother_r1,fatherliveathome_r1,educationfather_r1,whichone1_r1
22,Male,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,5,Yes,Postgraduate,Is dead,No answer,CONDON
23,Female,1,No answer,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,,No,7,Yes,No answer,Yes,No answer,CONDON
25,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,5,Yes,Elementary School,Yes,High School,CONDON
26,Female,1,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,11,No answer,No answer,No answer,No answer,NO SE
27,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,,No,4,Yes,High School,Is dead,High School,CONDON
28,Female,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,3,No,College,No,Elementary School,CONDON
29,Male,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,6,Yes,No answer,No,University,CONDON
30,Female,2,No,Yes,1 person,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,5,Yes,High School,Yes,High School,PLANIFICAR
31,Male,1,No,Yes,1 person,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,,No,2,No,None,Yes,None,RETIRO
32,Female,2,No,Yes,1 person,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,,No,5,Yes,Elementary School,Yes,Elementary School,CONDON
33,Male,2,No,No,I have never had sexual relations,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,9,No,No answer,Invalid answer,University,NO SE
35,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,No,7,Yes,Postgraduate,Yes,Postgraduate,CONDON
36,Male,No answer,I don't know,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,No,5,Yes,High School,Yes,High School,CONDON
37,Male,3,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,,Yes,4,Yes,Elementary School,Yes,Elementary School,PASTILLAS ANTICONCEPTIVAS
38,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,4,Yes,Elementary School,Yes,High School,CONDON
39,Male,2,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,,No,10,Yes,University,No,High School,CONDON
40,Male,2,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,,No,4,Yes,High School,Yes,University,CONDON
41,Female,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,,No,10,Yes,High School,Yes,High School,CONDON
42,Male,1,I don't know,Yes,I don't know,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,,No,5,Yes,High School,Yes,High School,CONDON
43,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,,No,6,Yes,Postgraduate,Yes,Postgraduate,INYECCION
44,Male,2,No answer,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,6,Yes,High School,Yes,Elementary School,CONDON
45,Male,3,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,7,Yes,Postgraduate,Yes,College,CONDON
46,Male,3,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,10,No,No answer,Is dead,University,PASTILLAS ANTICONCEPTIVAS
47,Male,2,No,Yes,1 person,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,5,Yes,Elementary School,No,High School,CONDON
48,Male,3,I don't know,Yes,1 person,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,10,No,University,Yes,College,CONDON
49,Male,2,No,Yes,2-5 people,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,,No,7,Yes,High School,Yes,High School,PASTILLAS ANTICONCEPTIVAS
53,Female,3,No,Yes,1 person,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,No,6,Yes,High School,Yes,High School,CONDON
55,Male,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,No,7,Yes,High School,Yes,High School,CONDON
56,Male,2,Yes,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,10,Yes,High School,Yes,High School,CONDON
57,Male,2,Yes,No,I have never had sexual relations,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,,Yes,5,Yes,College,I don't have any,College,CONDON
58,Male,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,,No,7,Yes,High School,No,High School,PASTILLAS ANTICONCEPTIVAS
59,Female,3,I don't know,Yes,1 person,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,3,Yes,University,I don't have any,No answer,METODOS ANTICONCEPTIVOS
60,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,0,No answer,No answer,Yes,No answer,CUIDARSE
61,Female,3,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,3,Yes,Elementary School,Yes,Elementary School,PASTILLAS ANTICONCEPTIVAS
62,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,,No,5,Yes,High School,Yes,High School,INYECCION
63,Male,I don't know,Yes,Yes,1 person,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,No,4,Yes,No answer,Yes,No answer,ABSTENCION
64,Male,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,5,Yes,High School,Yes,High School,CONDON
65,Female,4,No,Yes,1 person,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,No,5,Yes,No answer,No,No answer,CONDON
66,Male,I don't know,I don't know,Yes,For the last six months I have not had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,6,Yes,Elementary School,Yes,High School,RETIRO
67,Male,1,No answer,Yes,2-5 people,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,No,4,Yes,High School,No,None,CONDON
68,Male,3,Yes,Yes,I don't know,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,5,Yes,No answer,No,No answer,CONDON
69,Female,I don't know,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,8,Yes,No answer,I don't have any,No answer,ABSTENCION
70,Female,3,No,Yes,1 person,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,DESPUES DE UNOS DIAS QUE SE HAYA IDO EL PERIODO,No,4,Yes,College,No,College,INYECCION
71,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,Yes,7,No answer,No answer,No answer,No answer,PASTILLAS ANTICONCEPTIVAS
72,Female,I don't know,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,4,Yes,High School,Yes,High School,PASTILLAS ANTICONCEPTIVAS
73,Male,2,Yes,No,I have never had sexual relations,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,,No,7,Yes,High School,Yes,High School,ABSTENCION
74,Male,2,I don't know,No,I have never had sexual relations,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,,No,3,Is dead,University,No,Elementary School,CONDON
75,Male,3,No,Yes,1 person,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,3,Yes,College,No,University,METODOS ANTICONCEPTIVOS
76,Female,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,4,Yes,High School,Yes,High School,PASTILLAS ANTICONCEPTIVAS
77,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,5,Yes,Elementary School,Yes,High School,ABSTENCION
78,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,5,Yes,High School,Yes,High School,METODOS ANTICONCEPTIVOS
79,Female,3,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,,No,5,Yes,University,No,Elementary School,METODOS ANTICONCEPTIVOS
80,Female,1,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,5,Yes,No answer,Yes,No answer,CONDON
81,Male,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,11,Yes,Postgraduate,Yes,Postgraduate,CONDON
82,Male,2,Yes,Yes,2-5 people,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,No,4,Yes,College,Yes,College,CONDON
83,Female,1,No answer,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,7,Yes,High School,No,High School,ABSTENCION
85,Male,I don't know,Yes,Yes,1 person,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,15,Yes,Elementary School,Yes,High School,CONDON
86,Female,2,Yes,No,I have never had sexual relations,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,No,11,Yes,College,Yes,College,INYECCION
87,Male,1,No,Yes,1 person,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,,No,5,Yes,Elementary School,Yes,High School,CUIDARSE
88,Male,I don't know,No answer,Yes,1 person,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,,No,4,Yes,High School,Invalid answer,College,PASTILLAS ANTICONCEPTIVAS
89,Male,I don't know,No answer,Yes,For the last six months I have not had sexual relations,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,2,No,Elementary School,Yes,High School,CONDON
90,Male,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,8,Yes,Elementary School,Yes,High School,ABSTENCION
91,Female,1,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,6,Yes,High School,Yes,High School,METODOS ANTICONCEPTIVOS
92,Male,1,Yes,Yes,2-5 people,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,,No,5,Yes,High School,Yes,High School,CONDON
93,Male,4,Yes,Yes,1 person,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,12,Yes,No answer,No,No answer,PILDORA DE EMERGENCIA
94,Male,I don't know,Yes,Yes,1 person,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,Yes,6,Yes,Elementary School,No answer,No answer,CONDON
95,Male,I don't know,Yes,Yes,1 person,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,5,I don't have any,No answer,I don't have any,High School,CONDON
96,Female,4,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,9,Yes,High School,Yes,University,METODOS ANTICONCEPTIVOS
97,Female,1,No answer,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,7,No,No answer,No,Elementary School,ABSTENCION
98,Male,1,No,Yes,2-5 people,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,6,Yes,College,Yes,High School,CONDON
99,Male,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,,No,13,Yes,High School,Yes,Elementary School,CUIDARSE
100,Female,I don't know,No answer,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,8,Yes,University,Yes,Elementary School,CONDON
101,Female,I don't know,No answer,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,1,Yes,Elementary School,Yes,High School,INYECCION
102,Male,1,No,Yes,1 person,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,3,Yes,College,No,High School,CONDON
103,Male,1,No answer,Yes,1 person,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,No,16,No,High School,No,College,CONDON
104,Male,1,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,10,Yes,University,No,University,CONDON
105,Female,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,No,4,Yes,Elementary School,Yes,Elementary School,METODOS ANTICONCEPTIVOS
106,Female,1,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,,No,5,Yes,Elementary School,Yes,College,CONDON
107,Male,1,No answer,Yes,1 person,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,,No,2,Yes,Elementary School,Yes,High School,CUIDARSE
108,Female,1,I don't know,Yes,1 person,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,,No,6,Yes,High School,Yes,High School,CONDON
109,Female,3,No,Yes,1 person,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,No,5,Yes,University,Yes,University,CONDON
110,Male,1,No answer,Yes,2-5 people,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,4,Yes,High School,Yes,High School,CONDON
111,Female,3,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,8,Yes,High School,Yes,High School,CONDON
112,Female,3,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,PLANIFICAR,No,1,Yes,High School,No,High School,PLANIFICAR
114,Male,1,No,Yes,1 person,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,No,8,Yes,University,No,High School,ABSTENCION
115,Female,2,No,Yes,1 person,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,,No,3,Yes,University,No,University,PASTILLAS ANTICONCEPTIVAS
116,Female,3,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,,No,11,Yes,Postgraduate,No,Postgraduate,OPERACION
117,Female,3,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,,No,5,Yes,University,Yes,University,METODOS ANTICONCEPTIVOS
118,Female,3,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,6,Yes,College,No,Postgraduate,CONDON
119,Female,3,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,2,Yes,High School,Is dead,No answer,CONDON
120,Male,3,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,No,5,Yes,High School,No,No answer,CONDON
121,Male,2,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,4,Yes,High School,Yes,Elementary School,OPERACION
122,Male,2,I don't know,Yes,More than 10 people,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,,No,4,Yes,College,Yes,College,CONDON
123,Male,2,I don't know,Yes,2-5 people,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,No,3,No,High School,Yes,High School,PLANIFICAR
124,Female,2,No,Yes,1 person,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,No,6,Yes,High School,Yes,High School,PLANIFICAR
125,Male,3,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,,No,5,Yes,Elementary School,No,Elementary School,PLANIFICAR
126,Male,3,No,Yes,2-5 people,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,5,Yes,Postgraduate,Yes,University,CONDON
127,Male,3,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,No,4,Yes,University,Yes,High School,CONDON
128,Male,2,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,4,Yes,High School,Yes,Elementary School,CONDON
130,Male,4,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,No,6,Yes,University,Yes,High School,CONDON
131,Female,3,Yes,Yes,2-5 people,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,3,Yes,University,No,College,PLANIFICAR
132,Female,2,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,,No,6,Yes,High School,Yes,High School,CONDON
133,Female,3,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,,No,8,Yes,Elementary School,Is dead,No answer,PASTILLAS ANTICONCEPTIVAS
135,Male,3,Yes,Yes,1 person,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,,No,5,Yes,High School,Yes,High School,PASTILLAS ANTICONCEPTIVAS
136,Male,3,Yes,Yes,1 person,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,No,7,Yes,No answer,Is dead,High School,PASTILLAS ANTICONCEPTIVAS
138,Male,I don't know,I don't know,No,For the last six months I have not had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,No,6,Yes,High School,Yes,High School,CONDON
140,Female,3,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,5,I don't have any,College,I don't have any,No answer,CONDON
141,Male,3,Yes,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,5,No,None,Yes,University,CONDON
142,Male,1,I don't know,Yes,For the last six months I have not had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,4,Yes,University,Yes,No answer,CONDON
143,Male,3,I don't know,Yes,1 person,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,,No,12,Yes,High School,Yes,College,PASTILLAS ANTICONCEPTIVAS
144,Male,I don't know,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,,No,10,Yes,University,No,High School,ABSTENCION
145,Male,2,Yes,Yes,2-5 people,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,,No,4,Yes,High School,No,Elementary School,CONDON
146,Female,3,No answer,Yes,1 person,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,No,6,Yes,University,Yes,University,CONDON
147,Male,No answer,No answer,Yes,1 person,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,,No,14,No,Elementary School,No,Elementary School,CONDON
148,Male,3,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,,No,5,Yes,High School,Yes,Elementary School,CONDON
149,Male,4,No,Yes,1 person,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,5,Yes,College,Yes,Postgraduate,PLANIFICAR
150,Male,3,Yes,Yes,2-5 people,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,No,5,Yes,College,Yes,High School,PASTILLAS ANTICONCEPTIVAS
151,Male,3,I don't know,Yes,2-5 people,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,No,9,Yes,High School,Yes,High School,OPERACION
152,Male,3,No,Yes,1 person,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,,No,5,Yes,High School,Yes,High School,CONDON
153,Male,3,I don't know,Yes,2-5 people,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,No,10,Yes,High School,Yes,University,CONDON
154,Male,3,No,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,No,5,Yes,College,No,College,CONDON
155,Male,3,I don't know,No,I have never had sexual relations,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,No,3,Yes,No answer,Yes,No answer,PROTEGERSE
156,Male,3,I don't know,Yes,2-5 people,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,16,Yes,Elementary School,No,High School,CONDON
157,Female,4,No answer,Yes,2-5 people,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,,Yes,6,Yes,College,Yes,University,INYECCION
